Folder Name,Folder Code,Filtered Group Start Date,Filtered Group End Date,Filtered Group Duration,Total Group Start Date,Total Group End Date,Total Group Duration
DELIVERY PHASE,1,7/02/2024,15/01/2027,722,7/02/2024,15/01/2027,722
Pre-Construction,1.1,7/02/2024,6/11/2025,438,7/02/2024,6/11/2025,438
Vibration Monitoring,1.1.1,11/04/2024,9/08/2024,87,11/04/2024,9/08/2024,87
Property Condition Surveys,1.1.2,5/03/2024,21/06/2024,79,5/03/2024,21/06/2024,79
Ground Investigations,1.1.3,7/02/2024,6/11/2025,438,7/02/2024,6/11/2025,438
Site Establishment,1.1.4,8/04/2024,10/04/2025,250,8/04/2024,10/04/2025,250
Temporary Power - North and South,1.1.4.1,8/04/2024,10/04/2024,3,8/04/2024,10/04/2024,3
85 REDACTED St Lay-Down Yard Site Compound,1.1.4.2,6/05/2024,10/04/2025,230,6/05/2024,10/04/2025,230
REDACTED Rd FBA Site Office,1.1.4.3,17/06/2024,21/06/2024,5,17/06/2024,21/06/2024,5
Tydeman Compound ,1.1.4.4,12/06/2024,25/10/2024,97,12/06/2024,25/10/2024,97
Precast Yard,1.1.5,31/05/2024,25/06/2024,18,31/05/2024,25/06/2024,18
Construction,1.2,26/02/2024,15/01/2027,709,26/02/2024,15/01/2027,709
Interface Milestones,1.2.1,4/03/2026,13/11/2026,178,4/03/2026,13/11/2026,178
Permadec Deliveries,1.2.1.1,13/05/2026,27/05/2026,11,13/05/2026,27/05/2026,11
Pre-Construction,1.2.2,26/02/2024,30/07/2025,355,26/02/2024,30/07/2025,355
Development Approval,1.2.2.2,4/06/2024,12/09/2024,73,4/06/2024,12/09/2024,73
Site Compounds,1.2.2.3,18/03/2024,17/03/2025,247,18/03/2024,17/03/2025,247
Swan Hotel Carpark Compound,1.2.2.3.2,11/10/2024,7/02/2025,74,11/10/2024,7/02/2025,74
Beach Street Compound,1.2.2.3.3,4/12/2024,4/02/2025,33,4/12/2024,4/02/2025,33
Beach Street Compound,1.2.2.3.4,10/03/2025,17/03/2025,6,10/03/2025,17/03/2025,6
Enabling Works,1.2.2.4,26/02/2024,19/12/2024,213,26/02/2024,19/12/2024,213
Port Authority Buildings,1.2.2.4.1,15/03/2024,30/04/2024,33,15/03/2024,30/04/2024,33
Traffic Management for HDD,1.2.2.4.2,8/04/2024,22/04/2024,11,8/04/2024,22/04/2024,11
HDD,1.2.2.4.3,7/03/2024,18/12/2024,204,7/03/2024,18/12/2024,204
Approvals,1.2.2.4.3.6[duplicate],6/05/2024,30/08/2024,85,6/05/2024,30/08/2024,85
HDD Site Establishment,1.2.2.4.3.1,7/03/2024,1/08/2024,106,7/03/2024,1/08/2024,106
South of the River,1.2.2.4.3.1.1,7/03/2024,24/06/2024,78,7/03/2024,24/06/2024,78
North of the River,1.2.2.4.3.1.2,25/03/2024,1/08/2024,94,25/03/2024,1/08/2024,94
HDD Construction,1.2.2.4.3.8,21/03/2024,6/08/2024,99,21/03/2024,6/08/2024,99
HDD1 - Communications,1.2.2.4.3.8.1,21/03/2024,14/06/2024,62,21/03/2024,14/06/2024,62
HDD04 - Water 1,1.2.2.4.3.8.4,4/06/2024,6/08/2024,46,4/06/2024,6/08/2024,46
HDD03 & 04 ,1.2.2.4.3.2,7/08/2024,14/12/2024,92,7/08/2024,14/12/2024,92
Documentation / Handover,1.2.2.4.3.4,17/06/2024,28/06/2024,10,17/06/2024,28/06/2024,10
Site Demobilisation,1.2.2.4.3.5,12/12/2024,18/12/2024,5,12/12/2024,18/12/2024,5
Abutment 2 - Site Preparation Works,1.2.2.4.4,26/02/2024,19/12/2024,213,26/02/2024,19/12/2024,213
Approvals,1.2.2.4.4.5,30/05/2024,30/05/2024,1,30/05/2024,30/05/2024,1
Site Establishment & Clearing,1.2.2.4.4.1,15/04/2024,19/12/2024,178,15/04/2024,19/12/2024,178
Gate 3 Temporary Pavement,1.2.2.4.4.1.1,4/06/2024,10/07/2024,27,4/06/2024,10/07/2024,27
South East Temp Jetty Ramp,1.2.2.4.4.2,26/02/2024,26/09/2024,153,26/02/2024,26/09/2024,153
South West Temp Jetty Ramp,1.2.2.4.4.3,13/05/2024,2/10/2024,102,13/05/2024,2/10/2024,102
North of River Site Preparation Works,1.2.2.4.5,29/04/2024,20/11/2024,147,29/04/2024,20/11/2024,147
Approvals,1.2.2.4.5.3,13/05/2024,26/07/2024,55,13/05/2024,26/07/2024,55
North East Temp Jetty Ramp,1.2.2.4.5.1,1/07/2024,18/10/2024,79,1/07/2024,18/10/2024,79
North West Temp Jetty Ramp,1.2.2.4.5.2,29/04/2024,20/11/2024,147,29/04/2024,20/11/2024,147
Construction water bore installation,1.2.2.4.5.4,15/07/2024,18/07/2024,4,15/07/2024,18/07/2024,4
Crane Mobilisation and Assembly,1.2.2.4.6,24/08/2024,15/10/2024,36,24/08/2024,15/10/2024,36
Concrete Trials,1.2.2.4.10,30/09/2024,22/10/2024,17,30/09/2024,22/10/2024,17
Utility Service Relocations,1.2.2.5,1/03/2024,30/07/2025,351,1/03/2024,30/07/2025,351
Approvals,1.2.2.5.5,10/06/2024,5/07/2024,20,10/06/2024,5/07/2024,20
Service Relocation - North of Bridge Queen Victoria Street,1.2.2.5.1,1/03/2024,30/07/2025,351,1/03/2024,30/07/2025,351
Power,1.2.2.5.1.1,1/03/2024,26/03/2024,18,1/03/2024,26/03/2024,18
Western Power,1.2.2.5.1.1.7,1/03/2024,26/03/2024,18,1/03/2024,26/03/2024,18
Watercorp,1.2.2.5.1.13,8/04/2024,10/05/2024,25,8/04/2024,10/05/2024,25
Service Relocation - Removal of Redundant Services,1.2.2.5.2,21/03/2024,22/07/2025,331,21/03/2024,22/07/2025,331
South of River,1.2.2.5.2.3,24/05/2024,22/05/2025,243,24/05/2024,22/05/2025,243
